image_name,defect_type,confidence,x_min,y_min,width,height
01_missing_hole_04.jpg,missing_hole,0.83805,218.267,1011.318,56.118,54.335
01_missing_hole_04.jpg,missing_hole,0.80702,337.355,761.962,50.823,49.246
01_missing_hole_04.jpg,missing_hole,0.69871,1615.694,223.942,59.652,61.661
01_missing_hole_04.jpg,missing_hole,0.07285,462.563,1222.362,49.899,47.53
01_missing_hole_04.jpg,spur,0.01668,2189.455,1100.784,43.702,52.888
01_missing_hole_04.jpg,mouse_bite,0.00961,1474.367,1214.412,52.631,54.036
01_missing_hole_04.jpg,mouse_bite,0.00769,454.642,946.781,30.298,32.785
01_missing_hole_04.jpg,mouse_bite,0.00668,1462.469,1233.781,48.542,46.563
01_missing_hole_04.jpg,spurious_copper,0.00462,2258.575,1387.698,48.698,44.493
01_missing_hole_04.jpg,spur,0.0045,2170.347,1091.042,45.697,51.879
01_missing_hole_04.jpg,spurious_copper,0.00449,418.132,820.124,30.427,38.016
01_missing_hole_04.jpg,mouse_bite,0.00446,2189.455,1100.784,43.702,52.888
01_missing_hole_04.jpg,spurious_copper,0.00424,1108.271,1169.29,44.232,37.231
01_missing_hole_04.jpg,spurious_copper,0.00421,2618.393,524.826,49.76,47.172
01_missing_hole_04.jpg,open_circuit,0.00363,1617.075,220.734,51.875,60.329
01_missing_hole_04.jpg,open_circuit,0.00359,454.642,946.781,30.298,32.785
01_missing_hole_04.jpg,mouse_bite,0.00344,1617.075,220.734,51.875,60.329
01_missing_hole_04.jpg,mouse_bite,0.0034,2065.642,438.589,27.001,28.232
01_missing_hole_04.jpg,spurious_copper,0.00326,2310.344,1289.868,37.73,47.146
01_missing_hole_04.jpg,mouse_bite,0.00315,648.872,1285.469,35.544,35.109
01_missing_hole_04.jpg,spur,0.00279,1462.469,1233.781,48.542,46.563
01_missing_hole_04.jpg,mouse_bite,0.00272,2165.226,987.295,28.302,29.958
01_missing_hole_04.jpg,open_circuit,0.00241,2065.642,438.589,27.001,28.232
01_missing_hole_04.jpg,spurious_copper,0.00238,2716.24,1031.538,46.694,49.854
01_missing_hole_04.jpg,spur,0.00231,2308.015,1097.168,36.832,35.853
01_missing_hole_04.jpg,spurious_copper,0.00227,699.253,1133.739,60.775,37.824
01_missing_hole_04.jpg,spurious_copper,0.00222,2693.642,1246.587,45.956,44.809
01_missing_hole_04.jpg,spurious_copper,0.00221,2308.015,1097.168,36.832,35.853
01_missing_hole_04.jpg,spurious_copper,0.00217,1114.398,1168.478,51.175,34.491
01_missing_hole_04.jpg,mouse_bite,0.00206,221.214,1014.314,54.267,53.614
01_missing_hole_04.jpg,spurious_copper,0.00205,2122.146,1332.703,38.874,45.953
01_missing_hole_04.jpg,spur,0.002,1474.367,1214.412,52.631,54.036
01_missing_hole_04.jpg,spurious_copper,0.00194,2120.667,898.1,43.233,38.875
01_missing_hole_04.jpg,spur,0.00194,221.214,1014.314,54.267,53.614
01_missing_hole_04.jpg,spurious_copper,0.00186,454.642,946.781,30.298,32.785
01_missing_hole_04.jpg,short,0.00183,2310.344,1289.868,37.73,47.146
01_missing_hole_04.jpg,mouse_bite,0.00167,1450.664,1240.873,49.494,49.579
01_missing_hole_04.jpg,spurious_copper,0.00165,447.379,914.255,37.353,43.25
01_missing_hole_04.jpg,mouse_bite,0.00164,1861.339,1406.993,45.796,25.876
01_missing_hole_04.jpg,open_circuit,0.00164,418.132,820.124,30.427,38.016
01_missing_hole_04.jpg,spurious_copper,0.00151,2620.863,501.312,40.173,39.19
01_missing_hole_04.jpg,mouse_bite,0.00149,604.746,331.404,35.767,37.807
01_missing_hole_04.jpg,spurious_copper,0.00147,2713.936,1043.272,43.592,48.207
01_missing_hole_04.jpg,spur,0.00144,699.0,1120.855,41.37,32.325
01_missing_hole_04.jpg,spur,0.0014,2815.189,819.858,28.052,78.431
01_missing_hole_04.jpg,open_circuit,0.0014,221.214,1014.314,54.267,53.614
01_missing_hole_04.jpg,missing_hole,0.00137,206.092,1008.193,71.41,62.228
01_missing_hole_04.jpg,mouse_bite,0.00133,1494.308,1199.821,48.237,45.671
01_missing_hole_04.jpg,spurious_copper,0.00132,611.722,788.229,26.845,49.081
01_missing_hole_04.jpg,spurious_copper,0.0013,709.928,1110.322,50.608,36.768
01_missing_hole_04.jpg,spurious_copper,0.00129,2261.183,1377.869,46.921,47.004
01_missing_hole_04.jpg,spur,0.00129,1617.075,220.734,51.875,60.329
01_missing_hole_04.jpg,spur,0.00129,1328.599,1261.375,53.851,32.933
01_missing_hole_04.jpg,spurious_copper,0.00126,2313.467,1300.432,39.058,48.646
01_missing_hole_04.jpg,spurious_copper,0.00126,2228.07,649.216,57.035,30.437
01_missing_hole_04.jpg,spur,0.00126,2201.502,1106.351,42.695,45.06
01_missing_hole_04.jpg,spurious_copper,0.00124,428.136,863.666,34.84,57.906
01_missing_hole_04.jpg,mouse_bite,0.0012,2129.138,761.097,29.369,31.069
01_missing_hole_04.jpg,mouse_bite,0.00119,1519.805,1175.611,39.249,47.603
01_missing_hole_04.jpg,spurious_copper,0.00119,699.0,1120.855,41.37,32.325
01_missing_hole_04.jpg,spur,0.00119,2815.141,832.648,25.38,79.525
01_missing_hole_04.jpg,spur,0.00119,2440.696,290.604,37.936,39.944
01_missing_hole_04.jpg,missing_hole,0.00115,2065.642,438.589,27.001,28.232
01_missing_hole_04.jpg,spur,0.00114,1465.589,521.614,28.41,54.15
01_missing_hole_04.jpg,short,0.0011,418.132,820.124,30.427,38.016
01_missing_hole_04.jpg,mouse_bite,0.00109,2170.347,1091.042,45.697,51.879
01_missing_hole_04.jpg,open_circuit,0.00109,2165.226,987.295,28.302,29.958
01_missing_hole_04.jpg,mouse_bite,0.00109,2199.702,1117.499,41.873,46.388
01_missing_hole_04.jpg,open_circuit,0.00108,1462.469,1233.781,48.542,46.563
01_missing_hole_04.jpg,open_circuit,0.00106,2129.138,761.097,29.369,31.069
01_missing_hole_04.jpg,spurious_copper,0.00105,413.966,1071.908,34.262,30.636
01_missing_hole_04.jpg,open_circuit,0.00105,699.0,1120.855,41.37,32.325
01_missing_hole_04.jpg,spurious_copper,0.00102,2657.395,566.738,37.834,49.384
01_missing_hole_04.jpg,spurious_copper,0.00102,2189.455,1100.784,43.702,52.888
01_missing_hole_04.jpg,mouse_bite,0.00101,534.891,1073.583,25.891,25.702
01_missing_hole_04.jpg,spur,0.001,2618.393,524.826,49.76,47.172
01_missing_hole_10.jpg,missing_hole,0.87653,862.387,627.659,52.764,55.485
01_missing_hole_10.jpg,missing_hole,0.81318,337.211,761.958,51.701,49.657
01_missing_hole_10.jpg,missing_hole,0.77652,1613.004,395.506,60.13,61.47
01_missing_hole_10.jpg,missing_hole,0.07282,462.571,1222.359,49.898,47.545
01_missing_hole_10.jpg,spur,0.01644,2189.457,1100.766,43.711,52.933
01_missing_hole_10.jpg,mouse_bite,0.01284,1616.114,400.04,61.029,60.842
01_missing_hole_10.jpg,mouse_bite,0.00974,1474.437,1214.426,52.549,53.994
01_missing_hole_10.jpg,mouse_bite,0.00729,454.683,946.829,30.234,32.639
01_missing_hole_10.jpg,mouse_bite,0.00676,1462.503,1233.804,48.488,46.521
01_missing_hole_10.jpg,open_circuit,0.00551,1616.114,400.04,61.029,60.842
01_missing_hole_10.jpg,spurious_copper,0.0046,2258.574,1387.696,48.708,44.501
